Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
QSPLE465,DHINESHKUMAR,01-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,02-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,03-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,04-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,05-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,06-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,07-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,08-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,09-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,10-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,11-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,12-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,13-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,14-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,15-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,16-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,17-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,18-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,19-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,20-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,21-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,22-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,23-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,24-07-2026,Saturday,09:00:00,18:00:00,9,0,31,31
QSPLE465,DHINESHKUMAR,25-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,26-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,27-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,28-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,29-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,30-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE465,DHINESHKUMAR,31-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
