Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
BBE462,SURYAPANNEER,01-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,02-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,03-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,04-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,05-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,06-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,07-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,08-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,09-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,10-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,11-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,12-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,13-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,14-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,15-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,16-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,17-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,18-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,19-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,20-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,21-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,22-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,23-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,24-07-2026,Saturday,09:00:00,18:00:00,9,0,31,31
BBE462,SURYAPANNEER,25-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,26-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,27-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,28-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,29-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,30-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE462,SURYAPANNEER,31-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,01-07-2026,Thursday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,02-07-2026,Friday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,03-07-2026,Saturday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,04-07-2026,Sunday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,05-07-2026,Monday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,06-07-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
BBE465,DHINESHKUMAR,07-07-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
