Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
QSPLE455, CalabKevin,01-06-2026,Thursday,09:00:00,18:00:00,9,0,31,31
QSPLE455, CalabKevin,02-06-2026,Friday,09:00:00,18:00:00,9,0,31,31
QSPLE455, CalabKevin,03-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,04-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,05-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,06-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,07-06-2026,Wednesday,09:00:00,18:00:00,9,0,31,31
QSPLE455, CalabKevin,08-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,09-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,10-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,11-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,12-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,13-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,14-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,15-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,16-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,17-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,18-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,19-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,20-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,21-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,22-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,23-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,24-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,25-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,26-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,27-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,28-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE455, CalabKevin,29-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
