Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
QSPLE456, meenum,01-06-2026,Thursday,09:00:00,18:00:00,9,0,31,31
QSPLE456, meenum,02-06-2026,Friday,09:00:00,18:00:00,9,0,31,31
QSPLE456, meenum,03-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,04-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,05-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,06-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,07-06-2026,Wednesday,09:00:00,18:00:00,9,0,31,31
QSPLE456, meenum,08-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,09-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,10-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,11-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,12-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,13-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,14-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,15-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,16-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,17-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,18-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,19-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,20-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,21-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,22-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,23-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,24-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,25-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,26-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,27-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,28-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE456, meenum,29-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
