Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
QSPLE454,Surya P,01-06-2026,Thursday,09:00:00,18:00:00,9,0,31,31
QSPLE454,Surya P,02-06-2026,Friday,09:00:00,18:00:00,9,0,31,31
QSPLE454,Surya P,03-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,04-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,05-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,06-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,07-06-2026,Wednesday,09:00:00,18:00:00,9,0,31,31
QSPLE454,Surya P,08-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,09-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,10-06-2026,Saturday,09:00:00,18:00:00,9,0,31,31
QSPLE454,Surya P,11-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,12-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,13-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,14-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,15-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,16-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,17-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,18-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,19-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,20-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,21-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,22-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,23-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,24-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,25-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,26-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,27-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,28-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
QSPLE454,Surya P,29-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
