Employee Code,Emp_Name,In_Log_Date,Log_Day,Punch_In_Time,Punch_Out_Time,Work Hours,Status,Total_Days,Working_Days
 QSPLE457,  VaithialingamV,01-06-2026,Thursday,09:00:00,18:00:00,9,0,31,31
 QSPLE457,  VaithialingamV,02-06-2026,Friday,09:00:00,18:00:00,9,0,31,31
 QSPLE457,  VaithialingamV,03-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,04-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,05-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,06-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,07-06-2026,Wednesday,09:00:00,18:00:00,9,0,31,31
 QSPLE457,  VaithialingamV,08-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,09-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,10-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,11-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,12-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,13-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,14-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,15-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,16-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,17-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,18-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,19-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,20-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,21-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,22-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,23-06-2026,Friday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,24-06-2026,Saturday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,25-06-2026,Sunday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,26-06-2026,Monday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,27-06-2026,Tuesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,28-06-2026,Wednesday,09:00:00,18:00:00,9,1,31,31
 QSPLE457,  VaithialingamV,29-06-2026,Thursday,09:00:00,18:00:00,9,1,31,31
